"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Quail M.; Grunseich K.; Baldassarre L.A.; Mojibian H.; Marieb M.A.; Cornfeld D.; Soufer A.; Sinusas A.J.; Peters D.C.","Quail, Michael (35380885000); Grunseich, Karl (56611929900); Baldassarre, Lauren A. (26667196600); Mojibian, Hamid (13606919700); Marieb, Mark A. (6602678139); Cornfeld, Daniel (21742246300); Soufer, Aaron (35796640300); Sinusas, Albert J. (7006837185); Peters, Dana C. (7403067107)","35380885000; 56611929900; 26667196600; 13606919700; 6602678139; 21742246300; 35796640300; 7006837185; 7403067107","Prognostic and functional implications of left atrial late gadolinium enhancement cardiovascular magnetic resonance","2019","Journal of Cardiovascular Magnetic Resonance","21","1","2","","","","37","10.1186/s12968-018-0514-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059384892&doi=10.1186%2fs12968-018-0514-3&partnerID=40&md5=916d6b645285405e20bef80d4cb8e064","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85059384892"
"Cheang M.H.; Barber N.J.; Khushnood A.; Hauser J.A.; Kowalik G.T.; Steeden J.A.; Quail M.A.; Tullus K.; Hothi D.; Muthurangu V.","Cheang, Mun Hong (56976091500); Barber, Nathaniel J. (56609890400); Khushnood, Abbas (57087011000); Hauser, Jakob A. (37034141400); Kowalik, Gregorz T. (6602362169); Steeden, Jennifer A. (36605240600); Quail, Michael A. (35380885000); Tullus, Kjell (16409790600); Hothi, Daljit (13604772600); Muthurangu, Vivek (7801671480)","56976091500; 56609890400; 57087011000; 37034141400; 6602362169; 36605240600; 35380885000; 16409790600; 13604772600; 7801671480","A comprehensive characterization of myocardial and vascular phenotype in pediatric chronic kidney disease using cardiovascular magnetic resonance imaging","2018","Journal of Cardiovascular Magnetic Resonance","20","1","24","","","","5","10.1186/s12968-018-0444-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044754324&doi=10.1186%2fs12968-018-0444-0&partnerID=40&md5=74a2606dad9883f592377eab3776c55a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85044754324"
"Quail M.A.; Muthurangu V.","Quail, Michael A. (35380885000); Muthurangu, Vivek (7801671480)","35380885000; 7801671480","An Unwelcome Embrace","2017","Circulation: Cardiovascular Imaging","10","2","e006063","","","","0","10.1161/CIRCIMAGING.117.006063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013467003&doi=10.1161%2fCIRCIMAGING.117.006063&partnerID=40&md5=b88c2116e0fcf0588bb7c3c54d53aafc","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85013467003"
"Montalt-Tordera J.; Quail M.; Steeden J.A.; Muthurangu V.","Montalt-Tordera, Javier (57204789341); Quail, Michael (35380885000); Steeden, Jennifer A (36605240600); Muthurangu, Vivek (7801671480)","57204789341; 35380885000; 36605240600; 7801671480","Reducing Contrast Agent Dose in Cardiovascular MR Angiography with Deep Learning","2021","Journal of Magnetic Resonance Imaging","54","3","","795","805","10","24","10.1002/jmri.27573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101257386&doi=10.1002%2fjmri.27573&partnerID=40&md5=8c2f674e178970017df80e25137e8a13","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85101257386"
"Quail M.A.; Short R.; Pandya B.; Steeden J.A.; Khushnood A.; Taylor A.M.; Segers P.; Muthurangu V.","Quail, Michael A. (35380885000); Short, Rebekah (57193111836); Pandya, Bejal (12545915200); Steeden, Jennifer A. (36605240600); Khushnood, Abbas (57087011000); Taylor, Andrew M. (57195810900); Segers, Patrick (7005378428); Muthurangu, Vivek (7801671480)","35380885000; 57193111836; 12545915200; 36605240600; 57087011000; 57195810900; 7005378428; 7801671480","Abnormal wave reflections and left ventricular hypertrophy late after coarctation of the aorta repair","2017","Hypertension","69","3","","501","509","8","77","10.1161/HYPERTENSIONAHA.116.08763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010858458&doi=10.1161%2fHYPERTENSIONAHA.116.08763&partnerID=40&md5=47dfc31799ccedd0067d083cfec207ce","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85010858458"
"Howe K.; Dwinell M.; Shimoyama M.; Corton C.; Betteridge E.; Dove A.; Quail M.A.; Smith M.; Saba L.; Williams R.W.; Chen H.; Kwitek A.E.; McCarthy S.A.; Uliano-Silva M.; Chow W.; Tracey A.; Torrance J.; Sims Y.; Challis R.; Threlfall J.; Blaxter M.","Howe, Kerstin (57216050276); Dwinell, Melinda (7003621212); Shimoyama, Mary (7102642417); Corton, Craig (6506439609); Betteridge, Emma (57216494302); Dove, Alexander (57224362948); Quail, Michael A. (35380885000); Smith, Michelle (23045226800); Saba, Laura (8265144800); Williams, Robert W. (57210180996); Chen, Hao (56087482700); Kwitek, Anne E. (7003600418); McCarthy, Shane A. (8988938300); Uliano-Silva, Marcela (23111943600); Chow, William (24385257300); Tracey, Alan (57188759599); Torrance, James (47761784000); Sims, Ying (57216493621); Challis, Richard (15052874200); Threlfall, Jonathan (57223998753); Blaxter, Mark (7005409204)","57216050276; 7003621212; 7102642417; 6506439609; 57216494302; 57224362948; 35380885000; 23045226800; 8265144800; 57210180996; 56087482700; 7003600418; 8988938300; 23111943600; 24385257300; 57188759599; 47761784000; 57216493621; 15052874200; 57223998753; 7005409204","The genome sequence of the Norway rat, Rattus norvegicus Berkenhout 1769","2021","Wellcome Open Research","6","","118","","","","20","10.12688/wellcomeopenres.16854.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111510510&doi=10.12688%2fwellcomeopenres.16854.1&partnerID=40&md5=191d8e7377405901d4247a66867e12f9","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111510510"
